"cod","nome","período","valor"
"5","CO","1996","0"
"2","NE","1996","0"
"3","SE","1996","143"
"4","S","1996","0"
"1","N","1996","0"
"1","N","1997","20"
"2","NE","1997","75"
"4","S","1997","192"
"3","SE","1997","589"
"5","CO","1997","44"
"5","CO","1998","51"
"3","SE","1998","854"
"4","S","1998","298"
"1","N","1998","34"
"2","NE","1998","108"
"3","SE","1999","967"
"1","N","1999","32"
"5","CO","1999","97"
"2","NE","1999","120"
"4","S","1999","302"
"2","NE","2000","154"
"5","CO","2000","129"
"4","S","2000","324"
"1","N","2000","47"
"3","SE","2000","1111"
"4","S","2001","366"
"5","CO","2001","112"
"2","NE","2001","143"
"1","N","2001","67"
"3","SE","2001","1032"
"1","N","2002","43"
"3","SE","2002","1058"
"4","S","2002","390"
"5","CO","2002","141"
"2","NE","2002","149"
"5","CO","2003","128"
"1","N","2003","56"
"4","S","2003","394"
"3","SE","2003","1062"
"2","NE","2003","130"
"4","S","2004","432"
"1","N","2004","55"
"2","NE","2004","134"
"3","SE","2004","950"
"5","CO","2004","135"
"2","NE","2005","119"
"5","CO","2005","136"
"4","S","2005","425"
"1","N","2005","62"
"3","SE","2005","889"
"5","CO","2006","114"
"1","N","2006","81"
"3","SE","2006","931"
"4","S","2006","394"
"2","NE","2006","121"
"2","NE","2007","151"
"1","N","2007","63"
"3","SE","2007","746"
"5","CO","2007","144"
"4","S","2007","414"
"4","S","2008","502"
"5","CO","2008","121"
"3","SE","2008","747"
"1","N","2008","68"
"2","NE","2008","141"
"3","SE","2009","722"
"2","NE","2009","163"
"5","CO","2009","137"
"4","S","2009","542"
"1","N","2009","72"
"5","CO","2010","122"
"3","SE","2010","727"
"2","NE","2010","159"
"1","N","2010","56"
"4","S","2010","562"
"1","N","2011","75"
"2","NE","2011","154"
"3","SE","2011","712"
"4","S","2011","468"
"5","CO","2011","148"
"2","NE","2012","155"
"5","CO","2012","145"
"3","SE","2012","660"
"4","S","2012","535"
"1","N","2012","90"
"4","S","2013","478"
"5","CO","2013","140"
"3","SE","2013","719"
"2","NE","2013","194"
"1","N","2013","110"
"2","NE","2014","180"
"3","SE","2014","701"
"1","N","2014","74"
"4","S","2014","502"
"5","CO","2014","163"
"3","SE","2015","662"
"4","S","2015","495"
"2","NE","2015","159"
"5","CO","2015","139"
"1","N","2015","84"
"5","CO","2016","125"
"1","N","2016","84"
"3","SE","2016","584"
"2","NE","2016","175"
"4","S","2016","520"
"1","N","2017","88"
"2","NE","2017","199"
"3","SE","2017","605"
"4","S","2017","531"
"5","CO","2017","121"
"1","N","2018","104"
"2","NE","2018","186"
"3","SE","2018","522"
"4","S","2018","421"
"5","CO","2018","125"
