"cod","nome","período","valor"
"4","S","1996","0"
"2","NE","1996","0"
"3","SE","1996","24"
"1","N","1996","0"
"5","CO","1996","0"
"4","S","1997","28"
"2","NE","1997","123"
"3","SE","1997","525"
"1","N","1997","68"
"5","CO","1997","70"
"4","S","1998","54"
"2","NE","1998","165"
"3","SE","1998","730"
"1","N","1998","128"
"5","CO","1998","97"
"4","S","1999","52"
"2","NE","1999","300"
"3","SE","1999","832"
"1","N","1999","124"
"5","CO","1999","115"
"4","S","2000","53"
"2","NE","2000","478"
"3","SE","2000","817"
"1","N","2000","138"
"5","CO","2000","162"
"4","S","2001","48"
"2","NE","2001","499"
"3","SE","2001","862"
"1","N","2001","188"
"5","CO","2001","182"
"4","S","2002","78"
"2","NE","2002","462"
"3","SE","2002","869"
"1","N","2002","155"
"5","CO","2002","192"
"4","S","2003","63"
"2","NE","2003","505"
"3","SE","2003","921"
"1","N","2003","178"
"5","CO","2003","199"
"4","S","2004","74"
"2","NE","2004","580"
"3","SE","2004","835"
"1","N","2004","162"
"5","CO","2004","197"
"4","S","2005","78"
"2","NE","2005","653"
"3","SE","2005","835"
"1","N","2005","216"
"5","CO","2005","197"
"4","S","2006","93"
"2","NE","2006","773"
"3","SE","2006","850"
"1","N","2006","221"
"5","CO","2006","196"
"4","S","2007","76"
"2","NE","2007","775"
"3","SE","2007","765"
"1","N","2007","228"
"5","CO","2007","205"
"4","S","2008","95"
"2","NE","2008","893"
"3","SE","2008","772"
"1","N","2008","255"
"5","CO","2008","240"
"4","S","2009","101"
"2","NE","2009","944"
"3","SE","2009","818"
"1","N","2009","298"
"5","CO","2009","258"
"4","S","2010","104"
"2","NE","2010","1085"
"3","SE","2010","806"
"1","N","2010","346"
"5","CO","2010","270"
"4","S","2011","81"
"2","NE","2011","1178"
"3","SE","2011","789"
"1","N","2011","323"
"5","CO","2011","343"
"4","S","2012","125"
"2","NE","2012","1128"
"3","SE","2012","920"
"1","N","2012","403"
"5","CO","2012","341"
"4","S","2013","108"
"2","NE","2013","1182"
"3","SE","2013","854"
"1","N","2013","378"
"5","CO","2013","359"
"4","S","2014","135"
"2","NE","2014","1203"
"3","SE","2014","879"
"1","N","2014","397"
"5","CO","2014","378"
"4","S","2015","122"
"2","NE","2015","1168"
"3","SE","2015","808"
"1","N","2015","457"
"5","CO","2015","347"
"4","S","2016","121"
"2","NE","2016","1249"
"3","SE","2016","804"
"1","N","2016","475"
"5","CO","2016","356"
"1","N","2017","517"
"2","NE","2017","1524"
"3","SE","2017","803"
"4","S","2017","117"
"5","CO","2017","327"
"1","N","2018","522"
"2","NE","2018","1381"
"3","SE","2018","735"
"4","S","2018","134"
"5","CO","2018","298"
